Algoritmo,Nº Ejecución,Nº Estados,Soluble,,,AVG,STD
BFS,1,92,TRUE,,BFS,"65,26666667","29,6589038"
BFS,2,28,TRUE,,DFS,"941,5","792,3331065"
BFS,3,106,TRUE,,LDFS,"971,4333333","344,1716375"
BFS,4,64,TRUE,,UCS,"65,26666667","29,6589038"
BFS,5,71,TRUE,,,,
BFS,6,32,TRUE,,,,
BFS,7,62,TRUE,,,,
BFS,8,35,TRUE,,,,
BFS,9,11,TRUE,,,,
BFS,10,22,TRUE,,,,
BFS,11,11,TRUE,,,,
BFS,12,60,TRUE,,,,
BFS,13,76,TRUE,,,,
BFS,14,70,TRUE,,,,
BFS,15,109,TRUE,,,,
BFS,16,95,TRUE,,,,
BFS,17,121,TRUE,,,,
BFS,18,98,TRUE,,,,
BFS,19,61,TRUE,,,,
BFS,20,79,TRUE,,,,
BFS,21,35,TRUE,,,,
BFS,22,85,TRUE,,,,
BFS,23,80,TRUE,,,,
BFS,24,56,TRUE,,,,
BFS,25,90,TRUE,,,,
BFS,26,102,TRUE,,,,
BFS,27,39,TRUE,,,,
BFS,28,53,TRUE,,,,
BFS,29,62,TRUE,,,,
BFS,30,53,TRUE,,,,
DFS,1,1830,TRUE,,,,
DFS,2,670,TRUE,,,,
DFS,3,2298,TRUE,,,,
DFS,4,1792,TRUE,,,,
DFS,5,961,TRUE,,,,
DFS,6,352,TRUE,,,,
DFS,7,748,TRUE,,,,
DFS,8,61,TRUE,,,,
DFS,9,565,TRUE,,,,
DFS,10,718,TRUE,,,,
DFS,11,739,TRUE,,,,
DFS,12,1832,TRUE,,,,
DFS,13,2316,TRUE,,,,
DFS,14,288,TRUE,,,,
DFS,15,2287,TRUE,,,,
DFS,16,1075,TRUE,,,,
DFS,17,3007,TRUE,,,,
DFS,18,392,TRUE,,,,
DFS,19,2065,TRUE,,,,
DFS,20,749,TRUE,,,,
DFS,21,1105,TRUE,,,,
DFS,22,2221,TRUE,,,,
DFS,23,1500,TRUE,,,,
DFS,24,138,TRUE,,,,
DFS,25,1210,TRUE,,,,
DFS,26,836,TRUE,,,,
DFS,27,109,TRUE,,,,
DFS,28,1015,TRUE,,,,
DFS,29,506,TRUE,,,,
DFS,30,629,TRUE,,,,
LDFS,1,1133,FALSE,,,,
LDFS,2,1133,FALSE,,,,
LDFS,3,1133,FALSE,,,,
LDFS,4,1133,FALSE,,,,
LDFS,5,1133,FALSE,,,,
LDFS,6,352,TRUE,,,,
LDFS,7,1133,FALSE,,,,
LDFS,8,61,TRUE,,,,
LDFS,9,1133,FALSE,,,,
LDFS,10,1133,FALSE,,,,
LDFS,11,1133,FALSE,,,,
LDFS,12,1133,FALSE,,,,
LDFS,13,1133,FALSE,,,,
LDFS,14,288,TRUE,,,,
LDFS,15,1133,FALSE,,,,
LDFS,16,1133,FALSE,,,,
LDFS,17,1133,FALSE,,,,
LDFS,18,392,TRUE,,,,
LDFS,19,1133,FALSE,,,,
LDFS,20,749,TRUE,,,,
LDFS,21,1133,FALSE,,,,
LDFS,22,1133,FALSE,,,,
LDFS,23,1133,FALSE,,,,
LDFS,24,1133,FALSE,,,,
LDFS,25,1133,FALSE,,,,
LDFS,26,1133,FALSE,,,,
LDFS,27,109,TRUE,,,,
LDFS,28,1133,FALSE,,,,
LDFS,29,1133,FALSE,,,,
LDFS,30,1133,FALSE,,,,
UCS,1,92,TRUE,,,,
UCS,2,28,TRUE,,,,
UCS,3,106,TRUE,,,,
UCS,4,64,TRUE,,,,
UCS,5,71,TRUE,,,,
UCS,6,32,TRUE,,,,
UCS,7,62,TRUE,,,,
UCS,8,35,TRUE,,,,
UCS,9,11,TRUE,,,,
UCS,10,22,TRUE,,,,
UCS,11,11,TRUE,,,,
UCS,12,60,TRUE,,,,
UCS,13,76,TRUE,,,,
UCS,14,70,TRUE,,,,
UCS,15,109,TRUE,,,,
UCS,16,95,TRUE,,,,
UCS,17,121,TRUE,,,,
UCS,18,98,TRUE,,,,
UCS,19,61,TRUE,,,,
UCS,20,79,TRUE,,,,
UCS,21,35,TRUE,,,,
UCS,22,85,TRUE,,,,
UCS,23,80,TRUE,,,,
UCS,24,56,TRUE,,,,
UCS,25,90,TRUE,,,,
UCS,26,102,TRUE,,,,
UCS,27,39,TRUE,,,,
UCS,28,53,TRUE,,,,
UCS,29,62,TRUE,,,,
UCS,30,53,TRUE,,,,
